                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.89671,                 1.9995,                0.80651,                 1.0245,                0.88598,                0.79174,                0.87917,                0.71038,                0.87041,                0.75122,                0.82006,                0.57172,                0.80173,                 1.8262,                0.59711,                0.95357,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                0.84046,                 2.0016,                 0.7588,                 1.0152,                0.88813,                0.80254,                0.88107,                0.70656,                0.86691,                0.76404,                0.82277,                0.57205,                0.80107,                 1.8227,                0.60126,                0.95307,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.91168,                 2.0706,                0.78259,                 1.0333,                0.88536,                0.80459,                0.86706,                0.70501,                0.86045,                0.76948,                0.82595,                0.57426,                0.79488,                  1.818,                0.60044,                0.95263,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.88633,                 1.9776,                0.80893,                 1.0261,                0.89178,                0.79499,                0.86699,                0.70664,                0.87465,                0.76091,                0.82752,                0.57519,                0.78739,                  1.811,                0.59541,                0.95004,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.85301,                 1.9639,                 0.7595,                 1.0024,                0.89466,                0.79374,                0.87091,                 0.7106,                  0.873,                0.76305,                0.82965,                0.57523,                0.77968,                 1.8044,                0.59103,                0.94816,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                0.91967,                 2.0581,                0.81023,                 1.0299,                0.90035,                0.79726,                 0.8784,                0.71156,                0.86468,                0.76178,                0.82852,                0.57074,                0.77742,                 1.7942,                0.58834,                0.94779,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                0.86183,                 1.9693,                0.76904,                 1.0264,                0.88157,                0.80864,                  0.879,                0.71067,                0.84926,                0.76606,                0.82502,                0.57056,                0.77627,                 1.7824,                0.58906,                0.94769,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                0.86551,                 1.9782,                0.76054,                 1.0187,                0.89003,                 0.7996,                0.87641,                0.71095,                0.87175,                0.75764,                0.82846,                0.57084,                0.77513,                 1.7757,                0.58658,                0.94674,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                0.84743,                 1.9701,                0.76596,                 1.0244,                  0.902,                 0.7911,                0.87734,                0.71214,                0.88878,                0.75479,                0.83314,                0.57593,                0.76971,                 1.7718,                0.58374,                0.94506,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                0.85465,                 1.9106,                0.73592,                 1.0162,                0.89772,                0.79596,                0.87964,                0.71573,                0.89066,                0.74773,                0.83193,                0.57681,                0.76781,                 1.7705,                0.58288,                0.94439,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                0.89149,                 2.0056,                0.76155,                 1.0279,                0.90291,                0.79411,                0.87816,                0.71725,                 0.8896,                0.76143,                0.83813,                0.57729,                0.76475,                 1.7664,                0.57838,                0.94233,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                0.87411,                 2.0466,                0.79338,                 1.0216,                0.88532,                0.80781,                0.87746,                0.71181,                0.88352,                0.76163,                0.83767,                0.57669,                0.76138,                 1.7646,                0.57931,                0.94079,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                0.83618,                 1.8513,                 0.7614,                 1.0164,                0.89677,                0.79976,                0.87717,                0.71682,                0.87423,                0.76983,                0.83933,                 0.5812,                0.75951,                 1.7632,                0.57786,                 0.9399,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                0.87191,                 2.0112,                0.77601,                 1.0028,                0.89354,                0.80393,                0.87744,                0.71466,                0.86411,                0.78072,                0.83987,                0.58306,                0.75605,                 1.7635,                0.57402,                0.93819,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                 0.8194,                  1.932,                0.74732,                  1.008,                0.88333,                0.81587,                0.87911,                0.71853,                0.86521,                  0.781,                0.83723,                0.58778,                0.75311,                 1.7578,                0.56841,                0.93689,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                0.86122,                 1.9787,                0.77122,                 1.0133,                0.88327,                0.82329,                0.88088,                0.71893,                0.87164,                0.77883,                0.84029,                 0.5876,                0.74995,                 1.7507,                0.56557,                0.93629,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                0.90363,                 2.0371,                0.77562,                 1.0122,                0.88406,                 0.8227,                0.88078,                 0.7206,                0.86862,                0.77323,                0.83444,                0.58786,                0.75114,                 1.7467,                0.56388,                0.93551,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                0.84866,                 1.9553,                0.76285,                 1.0167,                0.88159,                0.82534,                0.88037,                 0.7202,                0.87862,                0.77537,                0.84083,                0.58676,                0.75245,                 1.7481,                 0.5643,                0.93478,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                0.84068,                 1.9383,                0.75355,                 1.0062,                0.88334,                0.82877,                0.87984,                0.72375,                0.88939,                0.76726,                0.83724,                0.58541,                0.75227,                 1.7463,                0.56465,                0.93451,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                0.82414,                 1.8852,                0.73222,                 1.0089,                0.88452,                0.82753,                0.88077,                0.72263,                0.88403,                0.77483,                0.83788,                0.58713,                0.75284,                 1.7412,                0.56462,                 0.9342,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                0.88988,                 2.0171,                0.78919,                 1.0186,                0.87557,                0.82698,                0.87818,                0.72415,                0.89699,                0.76229,                0.83796,                0.58566,                0.75141,                 1.7325,                0.56267,                0.93371,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                0.80445,                 1.8735,                0.71395,                0.99438,                0.90014,                0.82142,                0.88003,                0.72691,                0.88817,                 0.7786,                0.83969,                0.58911,                0.75003,                 1.7281,                0.55879,                 0.9336,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                0.85885,                 1.9576,                0.72156,                0.99948,                0.90124,                0.81621,                0.88164,                0.72887,                0.89522,                 0.7724,                0.84068,                0.59142,                0.74845,                 1.7248,                0.55663,                0.93319,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                0.82248,                 1.9093,                0.70592,                0.98116,                0.86901,                0.83102,                0.87968,                0.72701,                0.88738,                 0.7666,                0.83753,                0.58804,                0.74555,                  1.723,                0.55428,                0.93238,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                0.79872,                 1.8456,                0.71011,                 0.9973,                 0.8752,                0.82492,                0.87869,                0.72765,                0.87987,                0.76933,                0.83898,                0.58784,                0.74196,                 1.7214,                0.55396,                0.93125,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                0.79716,                  1.812,                0.67601,                0.99156,                0.88636,                 0.8241,                0.88287,                0.73101,                0.88882,                0.77727,                0.84291,                0.59337,                0.73825,                 1.7195,                0.55095,                0.92979,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                0.85871,                 1.9762,                0.75095,                 1.0076,                0.86484,                0.83654,                0.88096,                0.72979,                0.88075,                0.76883,                0.83876,                0.59353,                0.73713,                  1.717,                0.54897,                0.92945,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                0.84607,                 1.8991,                0.72685,                 1.0216,                0.86666,                0.83895,                0.88189,                0.72823,                 0.8444,                0.79943,                0.84029,                0.58969,                0.73573,                 1.7153,                0.54782,                0.92887,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                0.82273,                 1.9251,                0.69168,                0.99279,                0.88166,                0.82675,                0.88426,                0.73167,                0.87267,                0.78905,                 0.8447,                0.59088,                 0.7348,                 1.7121,                0.54733,                0.92785,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                0.84375,                 1.9238,                0.71934,                 0.9846,                0.88392,                0.82395,                0.88099,                0.73445,                0.88032,                0.78323,                0.84511,                0.59465,                0.73433,                 1.7124,                 0.5492,                0.92597,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                0.83702,                 1.9113,                0.73808,                0.99603,                0.87668,                 0.8296,                0.88357,                0.73469,                0.84987,                 0.7984,                0.84532,                0.59282,                0.73363,                 1.7097,                0.55055,                0.92483,             2.8286e-05,             2.8286e-05,             2.8286e-05
