epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,26.0769,0.4695,0.9469,0.94744,0.87261,0.64871,0.91071,0.82728,0.42056,1.87792,0.83512,0.000548727,0.000548727,0.000548727
88,26.3734,0.42993,0.68056,0.9233,0.75194,0.63283,0.89296,0.81913,0.42803,1.96197,0.83199,0.000553783,0.000553783,0.000553783
89,26.6519,0.46278,0.76646,0.90791,0.78826,0.57463,0.86561,0.80799,0.38651,2.05286,0.81668,0.000558808,0.000558808,0.000558808
90,26.9345,0.48753,0.87978,0.84483,0.806,0.53855,0.86749,0.82927,0.34522,2.02731,0.80496,0.000563803,0.000563803,0.000563803
91,27.226,0.45818,0.75015,0.88993,0.79958,0.48591,0.85739,0.81089,0.34763,1.99471,0.80545,0.000568768,0.000568768,0.000568768
92,27.509,0.50704,0.92286,0.89545,0.91845,0.34695,0.88772,0.82694,0.38952,2.07038,0.81647,0.000573702,0.000573702,0.000573702
93,27.8055,0.4153,0.67324,0.89075,0.91169,0.32172,0.90004,0.81519,0.47164,2.13339,0.84631,0.000578605,0.000578605,0.000578605
94,28.1517,0.4784,0.78183,0.89891,0.89764,0.39933,0.88478,0.80351,0.47561,2.11734,0.85275,0.000583479,0.000583479,0.000583479
95,28.4582,0.47158,0.78863,0.88472,0.88705,0.40594,0.84038,0.78792,0.41109,2.17189,0.83657,0.000588321,0.000588321,0.000588321
96,28.8085,0.4148,0.69355,0.86027,0.81915,0.46934,0.72401,0.6838,0.37244,2.09986,0.84155,0.000593134,0.000593134,0.000593134
97,29.1414,0.41725,0.78601,0.88222,0.67349,0.47268,0.73686,0.68966,0.4107,2.07806,0.88206,0.000597915,0.000597915,0.000597915
98,29.4254,0.42809,0.62743,0.8515,0.59484,0.45272,0.71203,0.66091,0.43241,2.03961,0.88902,0.000602667,0.000602667,0.000602667
99,29.7089,0.42409,0.90705,0.87657,0.72434,0.55783,0.77705,0.7208,0.44769,1.89673,0.89144,0.000607388,0.000607388,0.000607388
100,29.9915,0.44671,0.78358,0.91241,0.72189,0.62227,0.80853,0.74466,0.44963,1.85445,0.89127,0.000612078,0.000612078,0.000612078
101,30.3331,0.44181,0.67323,0.91475,0.55397,0.59259,0.78147,0.72789,0.39638,1.92268,0.85641,0.000616738,0.000616738,0.000616738
102,30.6187,0.45289,0.80182,0.89444,0.61001,0.48039,0.76542,0.72736,0.34766,1.96226,0.83567,0.000615215,0.000615215,0.000615215
103,30.9137,0.41637,0.69068,0.87635,0.75815,0.4665,0.75313,0.71485,0.35568,2.04853,0.83288,0.000613693,0.000613693,0.000613693
104,31.209,0.48417,0.74138,0.92032,0.7683,0.46296,0.79193,0.75114,0.36931,2.04383,0.83234,0.00061217,0.00061217,0.00061217
105,31.502,0.39571,0.66168,0.87407,0.85599,0.46038,0.79453,0.74793,0.39829,1.98861,0.83287,0.000610648,0.000610648,0.000610648
106,31.7887,0.437,0.67795,0.89282,0.86116,0.52416,0.80429,0.74099,0.44642,2.00932,0.85321,0.000609125,0.000609125,0.000609125
107,32.0764,0.4475,0.61283,0.93042,0.83859,0.41837,0.76288,0.71118,0.43392,2.19803,0.83678,0.000607602,0.000607602,0.000607602
108,32.3619,0.43428,0.7653,0.87603,0.89504,0.37193,0.65617,0.61063,0.42839,2.32119,0.81445,0.00060608,0.00060608,0.00060608
