epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,29.8749,0.48699,2.43256,0.95326,0.80274,0.31481,0.66893,0.64092,0.30676,2.4952,0.8012,0.000507617,0.000507617,0.000507617
105,30.1664,0.33391,2.43422,0.88367,0.68454,0.42593,0.69494,0.6541,0.37027,2.28315,0.81965,0.000505079,0.000505079,0.000505079
106,30.428,0.48129,2.34429,0.94607,0.68454,0.42593,0.69494,0.6541,0.37027,2.28315,0.81965,0.000502541,0.000502541,0.000502541
107,30.7,0.50926,2.34742,0.97488,0.68454,0.42593,0.69494,0.6541,0.37027,2.28315,0.81965,0.000500004,0.000500004,0.000500004
108,30.9646,0.38497,2.4006,0.8855,0.68454,0.42593,0.69494,0.6541,0.37027,2.28315,0.81965,0.000497466,0.000497466,0.000497466
109,31.2256,0.43665,2.41182,0.90833,0.68454,0.42593,0.69494,0.6541,0.37027,2.28315,0.81965,0.000494928,0.000494928,0.000494928
110,31.5407,0.44473,2.28639,0.94324,0.68454,0.42593,0.69494,0.6541,0.37027,2.28315,0.81965,0.000492391,0.000492391,0.000492391
111,31.8062,0.53477,2.64334,0.89227,0.68454,0.42593,0.69494,0.6541,0.37027,2.28315,0.81965,0.000489853,0.000489853,0.000489853
112,32.0717,0.37897,2.20812,0.9293,0.68454,0.42593,0.69494,0.6541,0.37027,2.28315,0.81965,0.000487315,0.000487315,0.000487315
113,32.3944,0.44392,2.38821,0.91884,0.68454,0.42593,0.69494,0.6541,0.37027,2.28315,0.81965,0.000484778,0.000484778,0.000484778
114,32.7154,0.57482,2.41466,0.95132,0.68454,0.42593,0.69494,0.6541,0.37027,2.28315,0.81965,0.00048224,0.00048224,0.00048224
115,33.0285,0.41675,2.27089,0.91853,0.68454,0.42593,0.69494,0.6541,0.37027,2.28315,0.81965,0.000479702,0.000479702,0.000479702
116,33.3105,0.46508,2.33924,0.93424,0.65697,0.5697,0.67921,0.63322,0.38985,2.08486,0.82988,0.000477165,0.000477165,0.000477165
117,33.569,0.43046,2.32873,0.84376,0.65697,0.5697,0.67921,0.63322,0.38985,2.08486,0.82988,0.000474627,0.000474627,0.000474627
118,33.8795,0.53286,2.28821,0.92274,0.65697,0.5697,0.67921,0.63322,0.38985,2.08486,0.82988,0.000472089,0.000472089,0.000472089
119,34.1362,0.44518,2.34416,0.88522,0.65697,0.5697,0.67921,0.63322,0.38985,2.08486,0.82988,0.000469551,0.000469551,0.000469551
120,34.3982,0.50366,2.37489,0.92828,0.65697,0.5697,0.67921,0.63322,0.38985,2.08486,0.82988,0.000467014,0.000467014,0.000467014
121,34.6588,0.53742,2.37713,0.91434,0.65697,0.5697,0.67921,0.63322,0.38985,2.08486,0.82988,0.000464476,0.000464476,0.000464476
122,34.9268,0.48694,2.24438,0.98471,0.65697,0.5697,0.67921,0.63322,0.38985,2.08486,0.82988,0.000461938,0.000461938,0.000461938
123,35.1798,0.51786,2.36349,0.93841,0.65697,0.5697,0.67921,0.63322,0.38985,2.08486,0.82988,0.000459401,0.000459401,0.000459401
124,35.4364,0.41381,2.22498,0.86924,0.65697,0.5697,0.67921,0.63322,0.38985,2.08486,0.82988,0.000456863,0.000456863,0.000456863
125,35.7549,0.43332,2.39621,0.87882,0.65697,0.5697,0.67921,0.63322,0.38985,2.08486,0.82988,0.000454325,0.000454325,0.000454325
126,36.0155,0.45172,2.33815,0.89224,0.65697,0.5697,0.67921,0.63322,0.38985,2.08486,0.82988,0.000451787,0.000451787,0.000451787
127,36.2935,0.38945,2.30391,0.8976,0.80378,0.58279,0.72522,0.68971,0.33458,1.88622,0.8316,0.00044925,0.00044925,0.00044925
128,36.5546,0.4546,2.07721,0.90534,0.80378,0.58279,0.72522,0.68971,0.33458,1.88622,0.8316,0.000446712,0.000446712,0.000446712
129,36.8181,0.40481,2.11638,0.88838,0.80378,0.58279,0.72522,0.68971,0.33458,1.88622,0.8316,0.000444174,0.000444174,0.000444174
130,37.1356,0.36002,1.94757,0.91158,0.80378,0.58279,0.72522,0.68971,0.33458,1.88622,0.8316,0.000441637,0.000441637,0.000441637
131,37.4452,0.4215,2.03739,0.95741,0.80378,0.58279,0.72522,0.68971,0.33458,1.88622,0.8316,0.000439099,0.000439099,0.000439099
132,37.7637,0.51687,2.35036,0.88542,0.80378,0.58279,0.72522,0.68971,0.33458,1.88622,0.8316,0.000436561,0.000436561,0.000436561
133,38.0403,0.44768,2.19349,0.85596,0.80378,0.58279,0.72522,0.68971,0.33458,1.88622,0.8316,0.000434024,0.000434024,0.000434024
134,38.3243,0.44574,2.19599,0.88444,0.80378,0.58279,0.72522,0.68971,0.33458,1.88622,0.8316,0.000431486,0.000431486,0.000431486
135,38.616,0.41923,2.03635,0.85943,0.80378,0.58279,0.72522,0.68971,0.33458,1.88622,0.8316,0.000428948,0.000428948,0.000428948
136,38.8955,0.43358,2.22677,0.84974,0.80378,0.58279,0.72522,0.68971,0.33458,1.88622,0.8316,0.000426411,0.000426411,0.000426411
137,39.1681,0.51533,2.37215,0.90381,0.80378,0.58279,0.72522,0.68971,0.33458,1.88622,0.8316,0.000423873,0.000423873,0.000423873
138,39.4626,0.43302,2.09973,0.90764,0.57827,0.71288,0.73637,0.70838,0.3096,1.58831,0.82756,0.000421335,0.000421335,0.000421335
139,39.7286,0.39552,1.89128,0.93578,0.57827,0.71288,0.73637,0.70838,0.3096,1.58831,0.82756,0.000418797,0.000418797,0.000418797
140,40.0477,0.39258,1.69957,0.85332,0.57827,0.71288,0.73637,0.70838,0.3096,1.58831,0.82756,0.00041626,0.00041626,0.00041626
141,40.3147,0.44252,2.13967,0.89347,0.57827,0.71288,0.73637,0.70838,0.3096,1.58831,0.82756,0.000413722,0.000413722,0.000413722
142,40.5902,0.49206,2.03392,0.91294,0.57827,0.71288,0.73637,0.70838,0.3096,1.58831,0.82756,0.000411184,0.000411184,0.000411184
143,40.8667,0.46615,2.19804,0.90426,0.57827,0.71288,0.73637,0.70838,0.3096,1.58831,0.82756,0.000408647,0.000408647,0.000408647
144,41.1482,0.42489,1.99229,0.89628,0.57827,0.71288,0.73637,0.70838,0.3096,1.58831,0.82756,0.000406109,0.000406109,0.000406109
145,41.4692,0.40103,1.8951,0.87517,0.57827,0.71288,0.73637,0.70838,0.3096,1.58831,0.82756,0.000403571,0.000403571,0.000403571
146,41.8038,0.43851,1.93904,1.00562,0.57827,0.71288,0.73637,0.70838,0.3096,1.58831,0.82756,0.000401033,0.000401033,0.000401033
147,42.1513,0.42427,2.14607,0.90797,0.57827,0.71288,0.73637,0.70838,0.3096,1.58831,0.82756,0.000398496,0.000398496,0.000398496
148,42.4208,0.41395,1.9051,0.91477,0.57827,0.71288,0.73637,0.70838,0.3096,1.58831,0.82756,0.000395958,0.000395958,0.000395958
149,42.7088,0.43989,1.93979,0.94677,0.60336,0.72253,0.76627,0.73135,0.32743,1.44729,0.87615,0.00039342,0.00039342,0.00039342
150,42.984,0.39177,1.75729,0.89469,0.60336,0.72253,0.76627,0.73135,0.32743,1.44729,0.87615,0.000390883,0.000390883,0.000390883
